Indicador,Área geográfica,Periodo,DATA
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Ene,94.22
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Feb,96.47
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Mar,95.26
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Abr,93.53
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 May,94.61
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Jun,95.37
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Jul,95.55
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Ago,93.6
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Sep,94.68
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2005 Oct,94.72
