Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,
"Matrícula escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,,,,,,,,
,,,,,,,,,,
Fecha de consulta: 17/04/2026 22:41:07,,,,,,,,,,
,,,,,,,,,,
Alumnos,,,,,,,,,,
Entidad federativa,Nivel educativo,2020/2021,2020/2021,2020/2021,2021/2022,2021/2022,2021/2022,2022/2023,2022/2023,2022/2023
Entidad federativa,Nivel educativo,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,"33,612,855","16,826,947","16,785,908","32,979,551","16,418,226","16,561,325","33,145,240","16,513,323","16,631,917"
Estados Unidos Mexicanos,Inicial,"196,861","100,691","96,170","190,740","98,088","92,652","217,391","112,127","105,264"
Estados Unidos Mexicanos,Preescolar,"4,328,188","2,182,537","2,145,651","4,153,558","2,090,597","2,062,961","4,334,938","2,179,034","2,155,904"
Estados Unidos Mexicanos,Primaria,"13,677,465","6,955,332","6,722,133","13,464,469","6,843,193","6,621,276","13,345,969","6,779,902","6,566,067"
Estados Unidos Mexicanos,Secundaria,"6,394,720","3,220,968","3,173,752","6,305,013","3,169,182","3,135,831","6,210,924","3,119,827","3,091,097"
Estados Unidos Mexicanos,Media superior,"4,985,005","2,422,022","2,562,983","4,861,091","2,328,329","2,532,762","5,003,087","2,420,910","2,582,177"
Estados Unidos Mexicanos,Superior,"4,030,616","1,945,397","2,085,219","4,004,680","1,888,837","2,115,843","4,032,931","1,901,523","2,131,408"
Aguascalientes,Total,"400,455","199,469","200,986","400,104","198,396","201,708","402,468","199,493","202,975"
Aguascalientes,Inicial,"3,099","1,579","1,520","3,688","1,955","1,733","4,269","2,229","2,040"
Aguascalientes,Preescolar,"51,878","26,243","25,635","51,932","26,067","25,865","53,244","26,746","26,498"
Aguascalientes,Primaria,"160,480","81,571","78,909","159,517","81,167","78,350","160,072","81,207","78,865"
Aguascalientes,Secundaria,"74,675","37,774","36,901","74,567","37,462","37,105","73,707","37,116","36,591"
Aguascalientes,Media superior,"56,636","27,080","29,556","55,464","26,376","29,088","56,980","27,212","29,768"
Aguascalientes,Superior,"53,687","25,222","28,465","54,936","25,369","29,567","54,196","24,983","29,213"
Baja California,Total,"951,597","475,114","476,483","936,578","465,374","471,204","944,896","469,081","475,815"
Baja California,Inicial,"7,435","3,798","3,637","6,850","3,626","3,224","7,324","3,761","3,563"
